Timestamp,DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP,PumpLife_hrs,WidthSTD,AveWidth,POPS_Flow,PumpFB,LDTemp,LaserFB,LD_Mon,Temp,BatV,Laser_Curent,Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
2026-02-03 06:33:27,20260203T081643,29803.5725,3,0,425,425,143.87,2059,2083,7.98,8.65,1013.09,31.80,1021.57,20.52,33.50,2.95,257.58,44.33,608.79,960.88,36.25,11.32,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,80,73,72,60,43,46,18,10,6,5,6,2,1,2,1,1
2026-02-03 06:33:28,20260203T081644,29804.5726,3,0,399,399,133.84,2059,2082,7.42,8.84,1013.16,31.80,1021.57,20.77,34.03,2.98,259.78,44.39,608.79,960.00,36.27,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,75,75,58,63,48,34,20,5,5,1,5,5,4,1,0,0
2026-02-03 06:33:29,20260203T081645,29805.5725,3,0,431,431,141.84,2058,2080,7.15,8.78,1013.15,31.81,1021.57,22.13,34.41,3.04,257.14,44.33,610.99,959.56,36.14,11.31,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,93,70,65,68,53,38,17,7,5,7,2,4,2,0,0,1
2026-02-03 06:33:30,20260203T081646,29806.5725,3,0,421,421,142.37,2058,2080,7.37,8.87,1013.22,31.82,1021.57,21.36,33.28,2.96,253.19,44.31,608.79,960.00,36.16,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,77,67,83,61,46,32,20,9,5,4,7,6,1,3,0,0
2026-02-03 06:33:31,20260203T081647,29807.5727,3,0,448,448,148.62,2059,2082,7.53,9.01,1013.26,31.82,1021.57,19.83,34.09,3.01,258.46,44.35,609.23,960.00,36.25,11.32,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,94,82,70,54,43,42,29,13,5,2,4,7,1,2,0,0
2026-02-03 06:33:32,20260203T081648,29808.5728,3,0,435,435,144.45,2058,2081,7.67,9.13,1013.14,31.82,1021.57,20.80,34.34,3.01,258.02,44.31,609.23,960.00,36.29,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,87,82,85,63,38,36,15,13,6,2,3,2,3,0,0,0
2026-02-03 06:33:33,20260203T081649,29809.5725,3,0,410,410,136.70,2059,2081,7.42,8.85,1013.11,31.83,1021.57,19.09,33.34,3.00,258.90,44.35,605.71,963.52,36.27,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,78,87,60,66,43,37,17,10,4,2,2,2,2,0,0,0
2026-02-03 06:33:34,20260203T081650,29810.5730,3,0,362,362,122.80,2059,2082,7.62,8.89,1013.15,31.84,1021.57,20.33,34.05,2.95,258.46,44.35,610.11,957.36,36.27,11.31,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,83,68,58,52,39,24,14,8,5,3,2,2,3,1,0,0
2026-02-03 06:33:35,20260203T081651,29811.5726,3,0,427,427,146.80,2059,2082,7.66,9.11,1013.12,31.84,1021.57,22.62,33.38,2.91,256.70,44.35,609.23,960.88,36.27,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,76,74,84,65,46,29,16,16,1,6,6,4,4,0,0,0
2026-02-03 06:33:36,20260203T081652,29812.5727,3,0,421,421,139.24,2059,2080,7.00,8.79,1013.06,31.85,1021.57,19.93,33.06,3.02,258.46,44.31,608.79,960.44,36.29,11.31,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,89,80,69,56,38,37,19,14,4,4,6,4,1,0,0,0
2026-02-03 06:33:37,20260203T081653,29813.5725,3,0,384,384,127.64,2057,2080,7.62,8.79,1013.11,31.85,1021.57,20.57,33.28,3.01,258.02,44.33,606.59,959.56,36.25,11.31,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,81,72,61,63,46,25,19,6,4,1,3,1,1,0,1,0
2026-02-03 06:33:38,20260203T081654,29814.5730,3,0,400,400,133.23,2059,2079,6.71,8.70,1013.12,31.86,1021.57,22.38,32.09,3.00,258.90,44.18,607.03,958.68,36.31,11.31,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,99,82,54,52,31,41,18,5,4,4,5,1,3,0,1,0
2026-02-03 06:33:39,20260203T081655,29815.5726,3,0,430,430,144.24,2058,2080,7.53,8.91,1013.13,31.86,1021.57,19.56,31.45,2.98,257.58,44.29,608.35,961.76,36.31,11.31,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,83,89,72,60,41,31,24,12,8,0,4,3,1,0,2,0
2026-02-03 06:33:40,20260203T081656,29816.5728,3,0,394,394,131.49,2058,2082,8.01,8.63,1013.16,31.87,1021.57,21.43,33.01,3.00,258.46,44.33,609.67,960.44,36.53,11.29,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,89,66,65,57,40,34,21,8,0,1,1,5,4,2,1,0
2026-02-03 06:33:41,20260203T081657,29817.5727,3,0,404,404,133.35,2058,2083,8.19,8.76,1013.12,31.87,1021.57,20.59,32.58,3.03,258.46,44.31,608.79,960.44,36.53,11.32,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,90,55,63,65,41,36,21,13,1,8,5,4,0,1,1,0
2026-02-03 06:33:42,20260203T081658,29818.5729,3,0,421,421,139.52,2060,2083,7.70,8.89,1013.12,31.88,1021.57,20.68,32.78,3.02,257.58,44.33,609.67,960.00,36.33,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,94,89,56,52,36,34,20,13,6,4,8,3,4,2,0,0
2026-02-03 06:33:43,20260203T081659,29819.5725,3,0,411,411,136.75,2059,2082,7.68,8.67,1013.16,31.88,1021.58,20.83,33.34,3.01,257.14,44.31,601.76,959.56,36.36,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,82,90,69,48,40,34,24,7,4,3,4,2,3,1,0,1
2026-02-03 06:33:44,20260203T081700,29820.5725,3,0,419,419,138.58,2059,2083,8.31,8.87,1013.15,31.89,1021.58,20.88,32.16,3.02,257.14,44.31,609.23,960.44,36.29,11.29,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,73,83,66,66,49,36,23,6,1,5,6,2,2,0,1,0
2026-02-03 06:33:45,20260203T081701,29821.5727,3,0,404,404,133.49,2058,2081,7.43,8.60,1013.17,31.89,1021.58,20.36,34.08,3.03,250.99,44.29,609.67,959.12,36.38,11.34,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,82,65,62,65,56,23,24,9,5,3,3,3,0,2,2,0
2026-02-03 06:33:46,20260203T081702,29822.5726,3,0,377,377,128.94,2060,2082,7.36,8.81,1013.10,31.90,1021.58,24.13,34.22,2.92,257.14,44.00,608.79,960.88,36.33,11.28,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,78,69,61,48,48,33,25,4,2,5,2,1,1,0,0,0
2026-02-03 06:33:47,20260203T081703,29823.5728,3,0,389,389,132.77,2059,2084,8.16,8.58,1013.08,31.91,1021.58,20.52,34.68,2.93,255.82,44.35,608.79,960.88,36.36,11.29,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,80,80,66,59,35,36,16,4,3,2,2,1,4,1,0,0
2026-02-03 06:33:48,20260203T081704,29824.5727,3,0,400,400,134.45,2059,2083,7.86,8.69,1013.15,31.91,1021.58,22.01,32.91,2.98,257.58,44.35,605.71,960.88,36.31,11.30,2.87,1.86,30000,3.0,16,1.75,4.81,0,8,255,512,82,55,80,61,44,37,16,8,4,2,6,2,0,3,0,0
